date,equity,position,daily_return,peak_equity,drawdown
2025-11-19,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-20,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-21,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-22,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-23,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-24,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-25,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-26,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-27,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-28,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-29,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-30,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-01,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-02,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-03,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-04,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-05,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-06,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-07,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-08,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-09,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-10,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-11,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-12,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-13,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-14,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-15,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-16,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-17,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-18,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-19,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-20,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-21,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-22,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-23,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-24,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-25,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-26,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-27,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-28,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-29,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-30,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-12-31,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-01,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-02,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-03,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-04,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-05,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-06,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-07,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
